"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"carros.nlogo"
"densidad_flujo"
"10/26/2024 14:51:22:496 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-3","3"
"[run number]","velocidad-inicial","numero_de_carros","aceleracion","posicion-inicial","desaceleracion","[step]","metrica_flujo"
"8","aleatoria","1","0.0045","aleatoria","0.026","450","0.875"
"5","aleatoria","1","0.0045","aleatoria","0.026","2200","0.9767441860465116"
"9","aleatoria","1","0.0045","aleatoria","0.026","50","0"
"1","aleatoria","1","0.0045","aleatoria","0.026","1200","0.9130434782608695"
"7","aleatoria","1","0.0045","aleatoria","0.026","1450","0.9285714285714286"
"8","aleatoria","1","0.0045","aleatoria","0.026","500","0.8888888888888888"
"5","aleatoria","1","0.0045","aleatoria","0.026","2250","0.9772727272727273"
"9","aleatoria","1","0.0045","aleatoria","0.026","100","1"
"1","aleatoria","1","0.0045","aleatoria","0.026","1250","0.9166666666666666"
"7","aleatoria","1","0.0045","aleatoria","0.026","1500","0.9310344827586207"
"8","aleatoria","1","0.0045","aleatoria","0.026","550","0.9"
"5","aleatoria","1","0.0045","aleatoria","0.026","2300","0.9777777777777777"
"9","aleatoria","1","0.0045","aleatoria","0.026","150","0.5"
"1","aleatoria","1","0.0045","aleatoria","0.026","1300","0.92"
"7","aleatoria","1","0.0045","aleatoria","0.026","1550","0.9333333333333333"
"5","aleatoria","1","0.0045","aleatoria","0.026","2350","0.9782608695652174"
"9","aleatoria","1","0.0045","aleatoria","0.026","200","0.6666666666666666"
"1","aleatoria","1","0.0045","aleatoria","0.026","1350","0.9230769230769231"
"7","aleatoria","1","0.0045","aleatoria","0.026","1600","0.9354838709677419"
"5","aleatoria","1","0.0045","aleatoria","0.026","2400","0.9787234042553191"
